ts,black_profile,white_profile,winner,result,moves,seconds,visits,komi,sgf,error,handicap
2026-09-13 15:26:24,preaz_10k,preaz_5k,W,W+R,148,126.5,40,0.5,g00000_preaz_10k_vs_preaz_5k.sgf,,2
2026-09-13 15:26:24,preaz_15k,preaz_5k,W,W+R,190,151.5,40,0.5,g00001_preaz_15k_vs_preaz_5k.sgf,,6
2026-09-13 15:28:31,preaz_10k,preaz_5k,B,B+6.5,262,159.2,40,0.5,g00002_preaz_10k_vs_preaz_5k.sgf,,2
2026-09-13 15:28:56,preaz_15k,preaz_5k,W,W+R,224,143.5,40,0.5,g00003_preaz_15k_vs_preaz_5k.sgf,,4
2026-09-13 15:31:10,preaz_10k,preaz_5k,W,W+R,149,58.3,40,0.5,g00004_preaz_10k_vs_preaz_5k.sgf,,3
2026-09-13 15:31:19,rank_5k,rank_1k,W,W+R,149,89.5,40,0.5,g00005_rank_5k_vs_rank_1k.sgf,,3
2026-09-13 15:32:08,rank_5k,rank_1k,B,B+R,175,99.7,40,0.5,g00006_rank_5k_vs_rank_1k.sgf,,6
2026-09-13 15:32:49,preaz_10k,preaz_5k,W,W+R,214,161.2,40,0.5,g00007_preaz_10k_vs_preaz_5k.sgf,,4
2026-09-13 15:33:48,rank_5k,rank_1k,W,W+R,188,103.7,40,0.5,g00008_rank_5k_vs_rank_1k.sgf,,4
2026-09-13 15:35:30,preaz_15k,preaz_5k,W,W+R,149,117.2,40,0.5,g00009_preaz_15k_vs_preaz_5k.sgf,,3
2026-09-13 15:35:32,rank_5k,rank_1k,W,W+28.5,300,151.1,40,7.5,g00010_rank_5k_vs_rank_1k.sgf,,0
2026-09-13 15:38:03,rank_5k,rank_1k,W,W+R,211,117.4,40,7.5,g00012_rank_5k_vs_rank_1k.sgf,,0
2026-09-13 15:37:27,preaz_10k,preaz_5k,B,B+25.5,267,184.0,40,7.5,g00011_preaz_10k_vs_preaz_5k.sgf,,0
2026-09-13 15:40:00,rank_1k,rank_5k,B,B+R,146,71.9,40,7.5,g00013_rank_1k_vs_rank_5k.sgf,,0
2026-09-13 15:40:31,preaz_15k,preaz_5k,W,W+R,216,122.2,40,0.5,g00014_preaz_15k_vs_preaz_5k.sgf,,6
2026-09-13 15:41:12,preaz_15k,preaz_5k,W,W+R,152,125.1,40,0.5,g00015_preaz_15k_vs_preaz_5k.sgf,,6
2026-09-13 15:42:34,preaz_15k,preaz_5k,W,W+R,178,91.0,40,0.5,g00016_preaz_15k_vs_preaz_5k.sgf,,4
2026-09-13 15:43:17,preaz_10k,preaz_5k,W,W+R,150,78.9,40,0.5,g00017_preaz_10k_vs_preaz_5k.sgf,,4
2026-09-13 15:44:05,rank_5k,rank_1k,W,W+R,205,152.2,40,0.5,g00018_rank_5k_vs_rank_1k.sgf,,3
2026-09-13 15:44:36,preaz_10k,preaz_5k,B,B+4.5,258,134.0,40,0.5,g00019_preaz_10k_vs_preaz_5k.sgf,,6
2026-09-13 15:46:37,preaz_10k,preaz_5k,B,B+R,161,120.7,40,0.5,g00020_preaz_10k_vs_preaz_5k.sgf,,4
2026-09-13 15:46:50,preaz_5k,preaz_15k,B,B+R,146,107.5,40,7.5,g00021_preaz_5k_vs_preaz_15k.sgf,,0
2026-09-13 15:48:37,preaz_10k,preaz_5k,W,W+R,183,82.2,40,0.5,g00022_preaz_10k_vs_preaz_5k.sgf,,3
2026-09-13 15:48:38,rank_5k,rank_1k,W,W+R,145,123.9,40,7.5,g00023_rank_5k_vs_rank_1k.sgf,,0
